                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46 
                            model_number                                num_zones                             initial_mass                                initial_z                                 star_age                                time_step                                     Teff                            photosphere_L                            photosphere_r                               center_eta                                center_h1                               center_he3                               center_he4                               center_c12                               center_n14                               center_o16                              center_ne20                                star_mass                                star_mdot                             star_mass_h1                            star_mass_he3                            star_mass_he4                            star_mass_c12                            star_mass_n14                            star_mass_o16                           star_mass_ne20                             he_core_mass                              c_core_mass                              o_core_mass                             si_core_mass                             fe_core_mass                   neutron_rich_core_mass                               tau10_mass                             tau10_radius                              tau100_mass                            tau100_radius                             dynamic_time                             kh_timescale                            nuc_timescale                           power_nuc_burn                             power_h_burn                            power_he_burn                                power_neu                                burn_min1                                burn_min2                             time_seconds 
                                     650                                     1118                  2.0000000000000000E+000                  2.0000000000000000E-002                  1.0735886082472669E+009                  2.6596623984099631E+004                  3.9535687030840982E+003                  6.0558332057775806E+002                  5.2525138792640625E+001                  1.4236209528807745E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.8046393318495983E-001                  1.0851480282794082E-004                  1.2040836573732729E-002                  1.1757806673542601E-003                  1.9423589381297316E-003                  1.9666516235390292E+000                 -4.4952682334005127E-009                  1.1060497434603402E+000                  4.7325618175844366E-004                  8.2067008379159956E-001                  3.7010851632765206E-003                  8.2615690541690250E-003                  1.5281287921240538E-002                  3.8199433586850796E-003                  3.6772085922933456E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.9666330683540594E+000                  5.2235137472158669E+001                  1.9666276120693449E+000                  5.2164987136164349E+001                  2.7178198547522719E+006                  2.8542584487742870E+003                  3.2475326791740913E+007                  6.0147865813727594E+002                  6.0147844988101019E+002                  1.9149504588612411E-004                  4.1102383000084536E+001                  5.0000000000000000E+001                  1.0000000000000000E+003                  3.3880470320181068E+016 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9 
                                    zone                                     mass                                     logR                                     logT                                   logRho                                     logP                        x_mass_fraction_H                       y_mass_fraction_He                   z_mass_fraction_metals 
                                       1                  1.9666516235390292E+000                  1.7203672086610138E+000                  3.5969892940564070E+000                 -8.2010233340491077E+000                  3.1985835458816307E+000                  6.9191896324892521E-001                  2.8789071089651297E-001                  2.0190325854561819E-002 
                                       2                  1.9666516235380460E+000                  1.7203672084411856E+000                  3.5969893060030009E+000                 -8.2010232504644769E+000                  3.1985836414357252E+000                  6.9191896324892521E-001                  2.8789071089651297E-001                  2.0190325854561819E-002 
                                       3                  1.9666516235360256E+000                  1.7203672079895225E+000                  3.5969893220742257E+000                 -8.2010231380218332E+000                  3.1985837699803588E+000                  6.9191896324892521E-001                  2.8789071089651297E-001                  2.0190325854561819E-002 
                                       4                  1.9666516235340050E+000                  1.7203672075378591E+000                  3.5969893501359769E+000                 -8.2010229416873859E+000                  3.1985839944302761E+000                  6.9191896324892521E-001                  2.8789071089651297E-001                  2.0190325854561819E-002 
                                       5                  1.9666516235289699E+000                  1.7203672064122375E+000                  3.5969893901882775E+000                 -8.2010226614613000E+000                  3.1985843147853359E+000                  6.9191896324892521E-001                  2.8789071089651297E-001                  2.0190325854561819E-002 
                                       6                  1.9666516235239351E+000                  1.7203672052866159E+000                  3.5969894445316304E+000                 -8.2010222812484628E+000                  3.1985847494455575E+000                  6.9191896324892521E-001                  2.8789071089651297E-001                  2.0190325854561819E-002 
                                       7                  1.9666516235153069E+000                  1.7203672033577355E+000                  3.5969895131660876E+000                 -8.2010218010492668E+000                  3.1985852984106020E+000                  6.9191896324892521E-001                  2.8789071089651297E-001                  2.0190325854561819E-002 
                                       8                  1.9666516235066784E+000                  1.7203672014288556E+000                  3.5969896107555415E+000                 -8.2010211182692458E+000                  3.1985860789668976E+000                  6.9191896324892521E-001                  2.8789071089651297E-001                  2.0190325854561819E-002 
                                       9                  1.9666516234907703E+000                  1.7203671978725052E+000                  3.5969897373001825E+000                 -8.2010202329098156E+000                  3.1985870911132261E+000                  6.9191896324892521E-001                  2.8789071089651297E-001                  2.0190325854561819E-002 
                                      10                  1.9666516234748619E+000                  1.7203671943161596E+000                  3.5969899223853519E+000                 -8.2010189379834788E+000                  3.1985885714790636E+000                  6.9191896324892521E-001                  2.8789071089651297E-001                  2.0190325854561819E-002 
                                      11                  1.9666516234442353E+000                  1.7203671874694733E+000                  3.5969901660117918E+000                 -8.2010172334956817E+000                  3.1985905200597173E+000                  6.9191896324892521E-001                  2.8789071089651297E-001                  2.0190325854561819E-002 
                                      12                  1.9666516234136084E+000                  1.7203671806228129E+000                  3.5969905325909277E+000                 -8.2010146688195515E+000                  3.1985934520168104E+000                  6.9191896324892521E-001                  2.8789071089651297E-001                  2.0190325854561819E-002 
                                      13                  1.9666516233520690E+000                  1.7203671668656049E+000                  3.5969910221258448E+000                 -8.2010112439777583E+000                  3.1985973673308008E+000                  6.9191896324892521E-001                  2.8789071089651297E-001                  2.0190325854561819E-002 
                                      14                  1.9666516232905296E+000                  1.7203671531085045E+000                  3.5969917109040193E+000                 -8.2010064253099877E+000                  3.1986028760955825E+000                  6.9191896324892521E-001                  2.8789071089651297E-001                  2.0190325854561819E-002 
                                      15                  1.9666516231788975E+000                  1.7203671281535611E+000                  3.5969925989348419E+000                 -8.2010002128852566E+000                  3.1986099782516546E+000                  6.9191896324892521E-001                  2.8789071089651297E-001                  2.0190325854561819E-002 
                                      16                  1.9666516230672655E+000                  1.7203671031989696E+000                  3.5969937452534713E+000                 -8.2009921938501833E+000                  3.1986191458007118E+000                  6.9191896324892521E-001                  2.8789071089651297E-001                  2.0190325854561819E-002 
                                      17                  1.9666516228906998E+000                  1.7203670637297099E+000                  3.5969951498801609E+000                 -8.2009823683536425E+000                  3.1986303786144052E+000                  6.9191896324892521E-001                  2.8789071089651297E-001                  2.0190325854561819E-002 
                                      18                  1.9666516227141346E+000                  1.7203670242613343E+000                  3.5969971274027013E+000                 -8.2009685362403921E+000                  3.1986461920386433E+000                  6.9191896324892521E-001                  2.8789071089651297E-001                  2.0190325854561819E-002 
                                      19                  1.9666516223935515E+000                  1.7203669526023051E+000                  3.5969996778985811E+000                 -8.2009506980799483E+000                  3.1986665855824468E+000                  6.9191896324892521E-001                  2.8789071089651297E-001                  2.0190325854561819E-002 
                                      20                  1.9666516220729684E+000                  1.7203668809461830E+000                  3.5970035501159039E+000                 -8.2009236188736434E+000                  3.1986975444286769E+000                  6.9191896324892521E-001                  2.8789071089651297E-001                  2.0190325854561819E-002 
                                      21                  1.9666516214201584E+000                  1.7203667350404210E+000                  3.5970087444046381E+000                 -8.2008873011931840E+000                  3.1987390663603268E+000                  6.9191896324892521E-001                  2.8789071089651297E-001                  2.0190325854561819E-002 
                                      22                  1.9666516207673488E+000                  1.7203665891467137E+000                  3.5970156801754136E+000                 -8.2008388181006886E+000                  3.1987944985343844E+000                  6.9191896324892521E-001                  2.8789071089651297E-001                  2.0190325854561819E-002 
                                      23                  1.9666516196769517E+000                  1.7203663454853575E+000                  3.5970243582536252E+000                 -8.2007781756591012E+000                  3.1988638357244557E+000                  6.9191896324892521E-001                  2.8789071089651297E-001                  2.0190325854561819E-002 
